# timestamp x y z qx qy qz qw
1766147818.123229742 208240.004665 2503040.573989 32.090423 0.025255 0.059064 -0.309331 0.948782
1766147818.143246174 208240.005274 2503040.573910 32.090989 0.025226 0.059037 -0.309330 0.948785
1766147818.168576241 208240.005886 2503040.573818 32.091574 0.025244 0.059064 -0.309329 0.948783
1766147818.183149815 208240.006507 2503040.573715 32.092155 0.025226 0.059041 -0.309334 0.948784
1766147818.203402996 208240.007104 2503040.573617 32.092722 0.025236 0.059056 -0.309334 0.948782
1766147818.223192930 208240.007715 2503040.573506 32.093313 0.025242 0.059048 -0.309334 0.948783
1766147818.243400812 208240.008332 2503040.573397 32.093882 0.025236 0.059041 -0.309335 0.948783
1766147818.270892859 208240.008963 2503040.573267 32.094480 0.025259 0.059064 -0.309333 0.948782
1766147818.283087730 208240.009579 2503040.573164 32.095052 0.025242 0.059035 -0.309338 0.948782
1766147818.303190947 208240.010205 2503040.573046 32.095643 0.025256 0.059070 -0.309339 0.948779
1766147818.323395491 208240.010855 2503040.572931 32.096231 0.025246 0.059044 -0.309342 0.948780
1766147818.343010187 208240.011482 2503040.572813 32.096801 0.025263 0.059064 -0.309346 0.948777
1766147818.368078709 208240.012112 2503040.572708 32.097396 0.025273 0.059050 -0.309347 0.948777
1766147818.383160591 208240.012727 2503040.572614 32.097961 0.025262 0.059046 -0.309350 0.948777
1766147818.403112650 208240.013368 2503040.572518 32.098544 0.025285 0.059067 -0.309344 0.948777
1766147818.423062325 208240.013990 2503040.572437 32.099105 0.025265 0.059045 -0.309344 0.948779
1766147818.443173170 208240.014620 2503040.572358 32.099673 0.025282 0.059068 -0.309346 0.948777
1766147818.468533278 208240.015250 2503040.572285 32.100271 0.025269 0.059039 -0.309344 0.948779
1766147818.483432293 208240.015883 2503040.572197 32.100819 0.025260 0.059062 -0.309348 0.948777
1766147818.503077507 208240.016515 2503040.572108 32.101416 0.025288 0.059046 -0.309345 0.948778
1766147818.523549080 208240.017133 2503040.572014 32.101976 0.025269 0.059039 -0.309347 0.948778
1766147818.543198586 208240.017766 2503040.571918 32.102568 0.025295 0.059052 -0.309345 0.948778
1766147818.570644855 208240.018404 2503040.571804 32.103153 0.025274 0.059036 -0.309348 0.948778
1766147818.583377600 208240.019041 2503040.571698 32.103737 0.025291 0.059062 -0.309349 0.948776
1766147818.603598833 208240.019678 2503040.571579 32.104347 0.025297 0.059039 -0.309347 0.948778
1766147818.623621702 208240.020312 2503040.571460 32.104928 0.025295 0.059046 -0.309344 0.948778
1766147818.643398046 208240.020949 2503040.571318 32.105534 0.025324 0.059053 -0.309337 0.948779
1766147818.664887905 208240.021579 2503040.571190 32.106103 0.025310 0.059042 -0.309331 0.948782
1766147818.683295965 208240.022210 2503040.571048 32.106705 0.025347 0.059059 -0.309327 0.948782
1766147818.703426361 208240.022836 2503040.570916 32.107282 0.025341 0.059028 -0.309323 0.948785
1766147818.723422766 208240.023457 2503040.570789 32.107859 0.025369 0.059048 -0.309317 0.948785
1766147818.743258953 208240.024093 2503040.570650 32.108451 0.025376 0.059036 -0.309311 0.948787
1766147818.801454544 208240.024719 2503040.570536 32.109006 0.025372 0.059036 -0.309307 0.948789
1766147818.811404228 208240.025348 2503040.570380 32.109602 0.025411 0.059038 -0.309297 0.948791
1766147818.815023422 208240.025940 2503040.570304 32.110119 0.025396 0.059007 -0.309291 0.948795
1766147818.823249340 208240.026538 2503040.570201 32.110662 0.025427 0.059046 -0.309275 0.948797
1766147818.843425512 208240.027156 2503040.570111 32.111199 0.025425 0.059005 -0.309260 0.948805
1766147818.865171671 208240.027774 2503040.570008 32.111731 0.025444 0.059023 -0.309246 0.948808
1766147818.883116961 208240.028399 2503040.569906 32.112295 0.025464 0.059000 -0.309217 0.948818
1766147818.903435946 208240.029046 2503040.569829 32.112824 0.025435 0.059003 -0.309205 0.948822
1766147818.923041821 208240.029717 2503040.569738 32.113371 0.025464 0.059016 -0.309195 0.948824
1766147818.943614244 208240.030391 2503040.569636 32.113896 0.025441 0.058986 -0.309169 0.948835
1766147818.970660686 208240.031076 2503040.569522 32.114434 0.025457 0.059015 -0.309171 0.948832
1766147818.983306885 208240.031775 2503040.569389 32.114990 0.025442 0.058997 -0.309177 0.948832
1766147819.003251076 208240.032511 2503040.569271 32.115507 0.025439 0.059011 -0.309156 0.948838
1766147819.023825884 208240.033247 2503040.569071 32.116073 0.025476 0.059002 -0.309168 0.948833
1766147819.043529510 208240.034009 2503040.568885 32.116597 0.025433 0.059004 -0.309152 0.948840
1766147819.064706802 208240.034840 2503040.568655 32.117143 0.025425 0.059020 -0.309147 0.948841
1766147819.083157539 208240.035685 2503040.568406 32.117616 0.025393 0.059010 -0.309142 0.948844
1766147819.103196621 208240.036588 2503040.568080 32.118141 0.025394 0.058983 -0.309140 0.948846
1766147819.123719931 208240.037541 2503040.567693 32.118650 0.025353 0.058973 -0.309152 0.948844
1766147819.143220186 208240.038569 2503040.567253 32.119127 0.025347 0.058970 -0.309160 0.948841
1766147819.168683767 208240.039688 2503040.566704 32.119632 0.025363 0.058931 -0.309180 0.948837
1766147819.183612823 208240.040860 2503040.566085 32.120099 0.025351 0.058914 -0.309210 0.948828
1766147819.204431295 208240.042170 2503040.565355 32.120597 0.025353 0.058918 -0.309245 0.948817
1766147819.223426104 208240.043611 2503040.564546 32.121060 0.025316 0.058880 -0.309296 0.948804
1766147819.243298292 208240.045159 2503040.563611 32.121520 0.025334 0.058893 -0.309339 0.948788
1766147819.271485806 208240.046857 2503040.562558 32.122005 0.025321 0.058830 -0.309391 0.948775
1766147819.283207893 208240.048707 2503040.561339 32.122451 0.025307 0.058853 -0.309455 0.948754
1766147819.303311825 208240.050750 2503040.559975 32.122897 0.025289 0.058816 -0.309518 0.948736
1766147819.323401213 208240.052959 2503040.558417 32.123284 0.025267 0.058769 -0.309600 0.948713
1766147819.343164682 208240.055392 2503040.556654 32.123696 0.025272 0.058718 -0.309685 0.948688
1766147819.368547916 208240.058034 2503040.554693 32.124056 0.025225 0.058642 -0.309777 0.948664
1766147819.383071184 208240.060920 2503040.552505 32.124394 0.025235 0.058615 -0.309884 0.948630
1766147819.403256893 208240.064043 2503040.550068 32.124727 0.025238 0.058503 -0.310002 0.948598
1766147819.423172712 208240.067441 2503040.547379 32.125000 0.025221 0.058441 -0.310126 0.948562
1766147819.443624020 208240.071139 2503040.544416 32.125271 0.025236 0.058355 -0.310255 0.948525
1766147819.466215849 208240.075139 2503040.541179 32.125479 0.025226 0.058271 -0.310392 0.948486
1766147819.483235359 208240.079467 2503040.537645 32.125701 0.025266 0.058223 -0.310536 0.948440
1766147819.503088951 208240.084116 2503040.533824 32.125883 0.025267 0.058150 -0.310685 0.948396
1766147819.523223400 208240.089118 2503040.529702 32.126062 0.025319 0.058144 -0.310836 0.948345
1766147819.543300390 208240.094456 2503040.525270 32.126232 0.025372 0.058122 -0.310983 0.948297
1766147819.568238974 208240.100140 2503040.520537 32.126360 0.025433 0.058162 -0.311128 0.948246
1766147819.583233356 208240.106188 2503040.515502 32.126533 0.025527 0.058214 -0.311277 0.948191
1766147819.603226185 208240.112583 2503040.510190 32.126635 0.025584 0.058297 -0.311430 0.948134
1766147819.623251200 208240.119317 2503040.504603 32.126780 0.025710 0.058436 -0.311580 0.948073
1766147819.643531322 208240.126309 2503040.498788 32.126881 0.025814 0.058575 -0.311734 0.948011
1766147819.664384365 208240.133540 2503040.492792 32.126975 0.025973 0.058790 -0.311886 0.947943
1766147819.684992552 208240.141029 2503040.486603 32.127066 0.026119 0.058995 -0.312042 0.947875
1766147819.704875946 208240.148738 2503040.480275 32.127092 0.026259 0.059250 -0.312199 0.947803
1766147819.723096132 208240.156634 2503040.473824 32.127133 0.026419 0.059521 -0.312349 0.947733
1766147819.743192911 208240.164677 2503040.467286 32.127113 0.026537 0.059800 -0.312503 0.947661
1766147819.805169821 208240.172869 2503040.460669 32.127111 0.026704 0.060104 -0.312653 0.947588
1766147819.814801931 208240.181187 2503040.453967 32.127053 0.026815 0.060385 -0.312807 0.947516
1766147819.818662643 208240.189398 2503040.447413 32.126139 0.026945 0.060694 -0.312957 0.947443
1766147819.824277401 208240.197809 2503040.441036 32.124338 0.027027 0.060988 -0.313106 0.947373
1766147819.843174458 208240.206337 2503040.434648 32.122492 0.027087 0.061287 -0.313253 0.947303
1766147819.865552664 208240.214984 2503040.428199 32.120658 0.027129 0.061583 -0.313396 0.947235
1766147819.883257627 208240.223741 2503040.421749 32.118778 0.027130 0.061841 -0.313544 0.947169
1766147819.903459311 208240.232599 2503040.415217 32.116914 0.027147 0.062130 -0.313694 0.947100
1766147819.923372984 208240.241534 2503040.408649 32.115011 0.027146 0.062349 -0.313850 0.947034
1766147819.944123507 208240.250541 2503040.401992 32.113106 0.027168 0.062604 -0.314006 0.946965
1766147819.978000164 208240.259636 2503040.395253 32.111174 0.027175 0.062804 -0.314161 0.946900
1766147819.986541510 208240.268805 2503040.388431 32.109228 0.027187 0.063008 -0.314322 0.946833
1766147820.003273010 208240.278073 2503040.381505 32.107293 0.027196 0.063224 -0.314482 0.946765
1766147820.023245811 208240.287408 2503040.374521 32.105379 0.027187 0.063397 -0.314644 0.946700
1766147820.043250084 208240.296829 2503040.367418 32.103483 0.027192 0.063637 -0.314796 0.946633
1766147820.065095186 208240.306309 2503040.360219 32.101610 0.027202 0.063796 -0.314952 0.946570
1766147820.083272457 208240.315826 2503040.352884 32.099719 0.027223 0.064040 -0.315103 0.946503
1766147820.103235960 208240.325387 2503040.345454 32.097864 0.027280 0.064215 -0.315260 0.946437
1766147820.123681307 208240.334972 2503040.337922 32.095964 0.027328 0.064439 -0.315412 0.946370
1766147820.143333912 208240.344604 2503040.330336 32.094093 0.027414 0.064655 -0.315573 0.946299
1766147820.168437719 208240.354269 2503040.322699 32.092195 0.027460 0.064854 -0.315742 0.946228
1766147820.183194876 208240.364001 2503040.315067 32.090292 0.027530 0.065103 -0.315911 0.946152
1766147820.203375816 208240.373787 2503040.307424 32.088381 0.027564 0.065303 -0.316089 0.946078
1766147820.223215342 208240.383629 2503040.299805 32.086425 0.027591 0.065560 -0.316270 0.945999
1766147820.243622065 208240.393500 2503040.292175 32.084465 0.027620 0.065790 -0.316463 0.945918
1766147820.271038532 208240.403400 2503040.284554 32.082427 0.027621 0.066017 -0.316675 0.945831
1766147820.283505440 208240.413325 2503040.276910 32.080397 0.027676 0.066230 -0.316896 0.945740
1766147820.303164959 208240.423260 2503040.269259 32.078300 0.027675 0.066415 -0.317129 0.945649
1766147820.323156595 208240.433233 2503040.261619 32.076204 0.027696 0.066612 -0.317365 0.945555
1766147820.343436480 208240.443257 2503040.253972 32.074069 0.027652 0.066772 -0.317598 0.945467
1766147820.371029139 208240.453335 2503040.246332 32.071903 0.027601 0.066946 -0.317832 0.945378
1766147820.383152008 208240.463459 2503040.238617 32.069723 0.027536 0.067107 -0.318061 0.945291
1766147820.403254271 208240.473607 2503040.230879 32.067499 0.027465 0.067243 -0.318287 0.945208
1766147820.423280716 208240.483817 2503040.223047 32.065261 0.027403 0.067431 -0.318494 0.945126
1766147820.443479300 208240.494080 2503040.215159 32.062968 0.027323 0.067557 -0.318702 0.945049
1766147820.464756727 208240.504371 2503040.207154 32.060660 0.027291 0.067737 -0.318898 0.944971
1766147820.483242750 208240.514705 2503040.199083 32.058308 0.027271 0.067859 -0.319100 0.944895
1766147820.503500462 208240.525062 2503040.190911 32.055953 0.027267 0.068028 -0.319303 0.944814
1766147820.523763895 208240.535462 2503040.182679 32.053610 0.027279 0.068166 -0.319517 0.944732
1766147820.543660402 208240.545857 2503040.174378 32.051227 0.027281 0.068319 -0.319744 0.944644
1766147820.569458246 208240.556287 2503040.165993 32.048866 0.027324 0.068477 -0.319974 0.944553
1766147820.583608627 208240.566697 2503040.157516 32.046510 0.027368 0.068577 -0.320220 0.944461
