# timestamp x y z qx qy qz qw
1757512291.287238836 634439.677977 4188554.384214 779.896696 -0.006385 0.017970 0.284336 0.958535
1757512291.291402102 634439.677930 4188554.384189 779.896666 -0.006379 0.017960 0.284333 0.958536
1757512291.311423063 634439.677881 4188554.384155 779.896640 -0.006389 0.017971 0.284340 0.958534
1757512291.333575964 634439.677821 4188554.384125 779.896607 -0.006384 0.017955 0.284344 0.958533
1757512291.352364063 634439.677770 4188554.384087 779.896591 -0.006387 0.017963 0.284348 0.958532
1757512291.372530937 634439.677731 4188554.384059 779.896566 -0.006393 0.017961 0.284346 0.958532
1757512291.392447233 634439.677691 4188554.384014 779.896549 -0.006385 0.017964 0.284335 0.958535
1757512291.415461779 634439.677652 4188554.383980 779.896534 -0.006391 0.017960 0.284335 0.958535
1757512291.442946196 634439.677623 4188554.383945 779.896508 -0.006383 0.017955 0.284336 0.958535
1757512291.451552391 634439.677610 4188554.383906 779.896478 -0.006395 0.017968 0.284345 0.958532
1757512291.471628666 634439.677591 4188554.383848 779.896442 -0.006371 0.017956 0.284346 0.958532
1757512291.492346764 634439.677582 4188554.383793 779.896413 -0.006384 0.017974 0.284347 0.958532
1757512291.512376070 634439.677572 4188554.383742 779.896393 -0.006363 0.017964 0.284342 0.958533
1757512291.534228086 634439.677563 4188554.383689 779.896357 -0.006371 0.017985 0.284334 0.958535
1757512291.552532196 634439.677532 4188554.383631 779.896325 -0.006360 0.017979 0.284338 0.958534
1757512291.572334528 634439.677491 4188554.383586 779.896285 -0.006353 0.017976 0.284338 0.958535
1757512291.593367815 634439.677443 4188554.383553 779.896255 -0.006365 0.017977 0.284352 0.958530
1757512291.611767530 634439.677395 4188554.383513 779.896216 -0.006361 0.017974 0.284350 0.958531
1757512291.637583017 634439.677327 4188554.383480 779.896190 -0.006367 0.017977 0.284349 0.958531
1757512291.651941538 634439.677268 4188554.383451 779.896176 -0.006366 0.017968 0.284343 0.958533
1757512291.672470331 634439.677209 4188554.383436 779.896142 -0.006377 0.017968 0.284338 0.958535
1757512291.692486048 634439.677150 4188554.383413 779.896122 -0.006375 0.017968 0.284342 0.958533
1757512291.712396860 634439.677087 4188554.383395 779.896092 -0.006373 0.017957 0.284343 0.958533
1757512291.739263535 634439.677029 4188554.383372 779.896066 -0.006387 0.017965 0.284354 0.958530
1757512291.751780272 634439.676992 4188554.383347 779.896034 -0.006386 0.017957 0.284352 0.958531
1757512291.771628141 634439.676959 4188554.383310 779.896013 -0.006389 0.017966 0.284348 0.958532
1757512291.792786121 634439.676936 4188554.383271 779.895991 -0.006391 0.017972 0.284341 0.958533
1757512291.811679363 634439.676914 4188554.383226 779.895970 -0.006377 0.017968 0.284336 0.958535
1757512291.837712049 634439.676903 4188554.383181 779.895940 -0.006394 0.017980 0.284344 0.958532
1757512291.852577448 634439.676884 4188554.383125 779.895906 -0.006374 0.017967 0.284348 0.958532
1757512291.872607946 634439.676865 4188554.383064 779.895879 -0.006381 0.017983 0.284354 0.958529
1757512291.891770124 634439.676844 4188554.383009 779.895859 -0.006367 0.017969 0.284352 0.958530
1757512291.911875963 634439.676831 4188554.382949 779.895834 -0.006373 0.017987 0.284344 0.958532
1757512291.933890820 634439.676802 4188554.382894 779.895808 -0.006359 0.017975 0.284343 0.958533
1757512291.952792168 634439.676768 4188554.382836 779.895777 -0.006352 0.017979 0.284338 0.958534
1757512291.973191500 634439.676724 4188554.382794 779.895745 -0.006361 0.017980 0.284349 0.958531
1757512291.993443251 634439.676680 4188554.382751 779.895707 -0.006350 0.017970 0.284349 0.958531
1757512292.013434172 634439.676625 4188554.382721 779.895678 -0.006367 0.017980 0.284358 0.958529
1757512292.037451506 634439.676570 4188554.382695 779.895653 -0.006364 0.017969 0.284351 0.958531
1757512292.053915501 634439.676516 4188554.382673 779.895624 -0.006376 0.017978 0.284344 0.958533
1757512292.071591139 634439.676465 4188554.382651 779.895597 -0.006368 0.017971 0.284342 0.958533
1757512292.091736317 634439.676419 4188554.382628 779.895551 -0.006375 0.017972 0.284344 0.958533
1757512292.111696959 634439.676372 4188554.382601 779.895525 -0.006375 0.017968 0.284356 0.958529
1757512292.138972998 634439.676336 4188554.382577 779.895478 -0.006379 0.017968 0.284355 0.958530
1757512292.152525187 634439.676299 4188554.382548 779.895448 -0.006380 0.017972 0.284356 0.958529
1757512292.172557831 634439.676275 4188554.382520 779.895420 -0.006384 0.017972 0.284349 0.958531
1757512292.192940474 634439.676245 4188554.382486 779.895396 -0.006385 0.017974 0.284344 0.958533
1757512292.212686062 634439.676225 4188554.382449 779.895369 -0.006384 0.017980 0.284342 0.958533
1757512292.283548117 634439.676197 4188554.382410 779.895326 -0.006376 0.017977 0.284344 0.958533
1757512292.292649031 634439.676175 4188554.382357 779.895286 -0.006380 0.017990 0.284355 0.958529
1757512292.295428276 634439.676291 4188554.382506 779.895272 -0.006368 0.017978 0.284354 0.958530
1757512292.298404932 634439.676414 4188554.382659 779.895271 -0.006373 0.017994 0.284350 0.958531
1757512292.312459230 634439.676529 4188554.382821 779.895261 -0.006364 0.017985 0.284343 0.958533
1757512292.334202290 634439.676636 4188554.382980 779.895259 -0.006373 0.017989 0.284339 0.958534
1757512292.352142096 634439.676744 4188554.383141 779.895241 -0.006371 0.017985 0.284346 0.958532
1757512292.372884274 634439.676850 4188554.383297 779.895221 -0.006358 0.017976 0.284346 0.958532
1757512292.391825676 634439.676964 4188554.383468 779.895213 -0.006373 0.017985 0.284355 0.958529
1757512292.424198151 634439.677074 4188554.383635 779.895213 -0.006354 0.017972 0.284349 0.958531
1757512292.438383102 634439.677189 4188554.383811 779.895208 -0.006374 0.017990 0.284348 0.958531
1757512292.452492952 634439.677305 4188554.383993 779.895212 -0.006359 0.017973 0.284338 0.958534
1757512292.472553968 634439.677423 4188554.384185 779.895200 -0.006373 0.017986 0.284333 0.958536
1757512292.492654324 634439.677531 4188554.384373 779.895203 -0.006375 0.017975 0.284343 0.958533
1757512292.512569189 634439.677653 4188554.384554 779.895184 -0.006374 0.017977 0.284342 0.958533
1757512292.533933878 634439.677771 4188554.384737 779.895187 -0.006381 0.017976 0.284350 0.958531
1757512292.551768541 634439.677906 4188554.384917 779.895182 -0.006382 0.017979 0.284340 0.958534
1757512292.572406054 634439.678027 4188554.385092 779.895185 -0.006383 0.017987 0.284337 0.958534
1757512292.593690157 634439.678156 4188554.385263 779.895185 -0.006376 0.017986 0.284332 0.958536
1757512292.612912416 634439.678276 4188554.385435 779.895171 -0.006377 0.017986 0.284332 0.958536
1757512292.636884212 634439.678399 4188554.385603 779.895164 -0.006383 0.017989 0.284342 0.958533
1757512292.652662516 634439.678514 4188554.385765 779.895149 -0.006376 0.017978 0.284344 0.958532
1757512292.672291994 634439.678640 4188554.385916 779.895142 -0.006378 0.017991 0.284345 0.958532
1757512292.691700220 634439.678769 4188554.386079 779.895133 -0.006374 0.017983 0.284340 0.958534
1757512292.711727619 634439.678894 4188554.386234 779.895143 -0.006369 0.017993 0.284333 0.958535
1757512292.738881826 634439.679014 4188554.386397 779.895130 -0.006371 0.017989 0.284332 0.958536
1757512292.752318144 634439.679129 4188554.386557 779.895127 -0.006358 0.017980 0.284331 0.958536
1757512292.772593021 634439.679248 4188554.386733 779.895121 -0.006371 0.017985 0.284341 0.958533
1757512292.792389631 634439.679361 4188554.386909 779.895120 -0.006356 0.017978 0.284341 0.958533
1757512292.812281132 634439.679485 4188554.387082 779.895125 -0.006370 0.017990 0.284338 0.958534
1757512292.837322712 634439.679603 4188554.387260 779.895121 -0.006357 0.017969 0.284331 0.958537
1757512292.851470470 634439.679734 4188554.387442 779.895120 -0.006370 0.017992 0.284326 0.958538
1757512292.872898102 634439.679853 4188554.387627 779.895131 -0.006361 0.017977 0.284329 0.958537
1757512292.892348051 634439.679975 4188554.387800 779.895125 -0.006360 0.017986 0.284331 0.958536
1757512292.912842274 634439.680090 4188554.387979 779.895132 -0.006368 0.017983 0.284343 0.958533
1757512292.935228109 634439.680214 4188554.388161 779.895144 -0.006364 0.017981 0.284340 0.958534
1757512292.952534437 634439.680330 4188554.388342 779.895161 -0.006374 0.017989 0.284340 0.958534
1757512292.972243071 634439.680450 4188554.388512 779.895173 -0.006362 0.017978 0.284328 0.958537
1757512292.993228912 634439.680567 4188554.388688 779.895177 -0.006368 0.017985 0.284326 0.958538
1757512293.011747360 634439.680686 4188554.388866 779.895187 -0.006361 0.017978 0.284332 0.958536
1757512293.036562681 634439.680801 4188554.389044 779.895184 -0.006365 0.017983 0.284333 0.958536
1757512293.052372456 634439.680913 4188554.389211 779.895186 -0.006362 0.017982 0.284336 0.958535
1757512293.072409868 634439.681032 4188554.389393 779.895187 -0.006366 0.017976 0.284329 0.958537
1757512293.092496157 634439.681152 4188554.389578 779.895198 -0.006371 0.017985 0.284323 0.958539
1757512293.112404346 634439.681274 4188554.389760 779.895197 -0.006369 0.017980 0.284313 0.958542
1757512293.133484364 634439.681383 4188554.389933 779.895191 -0.006368 0.017976 0.284314 0.958541
1757512293.152340651 634439.681504 4188554.390114 779.895186 -0.006377 0.017976 0.284322 0.958539
1757512293.171604633 634439.681617 4188554.390295 779.895184 -0.006369 0.017971 0.284326 0.958538
1757512293.192270517 634439.681740 4188554.390465 779.895185 -0.006378 0.017982 0.284327 0.958537
1757512293.212270737 634439.681851 4188554.390635 779.895186 -0.006362 0.017969 0.284319 0.958540
1757512293.266583204 634439.681978 4188554.390814 779.895194 -0.006381 0.017984 0.284317 0.958540
1757512293.275018692 634439.682105 4188554.390996 779.895196 -0.006371 0.017968 0.284316 0.958541
1757512293.277856350 634439.682143 4188554.390931 779.895210 -0.006368 0.017980 0.284315 0.958541
1757512293.292085648 634439.682184 4188554.390877 779.895225 -0.006371 0.017971 0.284326 0.958538
1757512293.311389446 634439.682231 4188554.390821 779.895241 -0.006363 0.017970 0.284326 0.958538
1757512293.333630562 634439.682282 4188554.390771 779.895258 -0.006375 0.017983 0.284329 0.958537
1757512293.352068663 634439.682332 4188554.390712 779.895282 -0.006352 0.017974 0.284315 0.958541
1757512293.372390985 634439.682379 4188554.390666 779.895291 -0.006373 0.017988 0.284314 0.958541
1757512293.392274618 634439.682422 4188554.390630 779.895311 -0.006364 0.017972 0.284314 0.958542
1757512293.415337086 634439.682473 4188554.390589 779.895319 -0.006371 0.017985 0.284316 0.958541
1757512293.443109274 634439.682506 4188554.390538 779.895333 -0.006359 0.017974 0.284325 0.958538
1757512293.451400757 634439.682551 4188554.390491 779.895341 -0.006363 0.017981 0.284320 0.958540
1757512293.471577883 634439.682592 4188554.390447 779.895357 -0.006363 0.017984 0.284323 0.958539
1757512293.492247581 634439.682639 4188554.390398 779.895367 -0.006359 0.017984 0.284313 0.958542
1757512293.512321472 634439.682667 4188554.390350 779.895382 -0.006363 0.017983 0.284315 0.958541
1757512293.533830166 634439.682701 4188554.390315 779.895404 -0.006360 0.017976 0.284317 0.958541
1757512293.552528858 634439.682735 4188554.390281 779.895412 -0.006368 0.017980 0.284323 0.958539
1757512293.572288990 634439.682775 4188554.390227 779.895429 -0.006368 0.017979 0.284330 0.958537
1757512293.593515635 634439.682812 4188554.390179 779.895443 -0.006366 0.017977 0.284327 0.958538
1757512293.611560106 634439.682857 4188554.390133 779.895471 -0.006369 0.017985 0.284324 0.958539
1757512293.637284994 634439.682906 4188554.390097 779.895483 -0.006365 0.017980 0.284315 0.958541
1757512293.651620150 634439.682946 4188554.390045 779.895505 -0.006364 0.017986 0.284316 0.958541
1757512293.672206879 634439.682983 4188554.390004 779.895519 -0.006368 0.017972 0.284319 0.958540
1757512293.692492962 634439.683021 4188554.389964 779.895531 -0.006365 0.017973 0.284325 0.958538
1757512293.712289572 634439.683079 4188554.389923 779.895548 -0.006378 0.017981 0.284328 0.958537
1757512293.738811493 634439.683124 4188554.389871 779.895565 -0.006363 0.017974 0.284321 0.958539
1757512293.752604961 634439.683175 4188554.389824 779.895588 -0.006379 0.017993 0.284319 0.958540
1757512293.771431446 634439.683225 4188554.389787 779.895606 -0.006364 0.017975 0.284313 0.958542
1757512293.793185472 634439.683279 4188554.389743 779.895614 -0.006370 0.017993 0.284315 0.958541
1757512293.813103914 634439.683311 4188554.389696 779.895621 -0.006367 0.017977 0.284323 0.958539
1757512293.836858273 634439.683347 4188554.389655 779.895630 -0.006373 0.017984 0.284325 0.958538
1757512293.852900267 634439.683386 4188554.389620 779.895640 -0.006382 0.017987 0.284329 0.958537
1757512293.873237848 634439.683429 4188554.389568 779.895655 -0.006369 0.017983 0.284315 0.958541
1757512293.893078804 634439.683464 4188554.389516 779.895672 -0.006384 0.017989 0.284314 0.958541
1757512293.913403988 634439.683500 4188554.389463 779.895686 -0.006367 0.017976 0.284312 0.958542
1757512293.934036732 634439.683544 4188554.389417 779.895690 -0.006375 0.017987 0.284319 0.958540
1757512293.952254534 634439.683581 4188554.389356 779.895696 -0.006370 0.017973 0.284325 0.958538
1757512293.972295523 634439.683618 4188554.389300 779.895704 -0.006374 0.017978 0.284326 0.958538
1757512293.992992163 634439.683660 4188554.389244 779.895719 -0.006370 0.017973 0.284331 0.958536
1757512294.012212992 634439.683716 4188554.389199 779.895725 -0.006371 0.017978 0.284318 0.958540
1757512294.037744999 634439.683761 4188554.389144 779.895741 -0.006373 0.017980 0.284319 0.958540
1757512294.052334785 634439.683807 4188554.389097 779.895744 -0.006372 0.017976 0.284314 0.958541
1757512294.071645260 634439.683848 4188554.389058 779.895751 -0.006369 0.017978 0.284325 0.958538
1757512294.091494799 634439.683904 4188554.389022 779.895761 -0.006374 0.017979 0.284329 0.958537
1757512294.113002539 634439.683939 4188554.388982 779.895770 -0.006372 0.017979 0.284326 0.958538
1757512294.133527756 634439.683980 4188554.388946 779.895800 -0.006381 0.017985 0.284324 0.958538
1757512294.152423859 634439.684022 4188554.388916 779.895815 -0.006374 0.017976 0.284316 0.958541
1757512294.172632456 634439.684070 4188554.388871 779.895830 -0.006383 0.017990 0.284318 0.958540
1757512294.192762136 634439.684107 4188554.388826 779.895838 -0.006376 0.017976 0.284322 0.958539
1757512294.212200403 634439.684141 4188554.388772 779.895858 -0.006372 0.017980 0.284328 0.958537
1757512294.267185211 634439.684188 4188554.388726 779.895869 -0.006377 0.017979 0.284336 0.958535
1757512294.276155472 634439.684232 4188554.388667 779.895877 -0.006371 0.017979 0.284331 0.958537
1757512294.280484915 634439.684226 4188554.388740 779.895819 -0.006384 0.017984 0.284328 0.958537
1757512294.292323351 634439.684215 4188554.388822 779.895764 -0.006362 0.017971 0.284320 0.958540
1757512294.312596083 634439.684220 4188554.388903 779.895693 -0.006380 0.017984 0.284322 0.958539
1757512294.334091902 634439.684217 4188554.388981 779.895624 -0.006364 0.017966 0.284325 0.958538
1757512294.352843761 634439.684218 4188554.389062 779.895558 -0.006369 0.017985 0.284326 0.958538
1757512294.372515917 634439.684214 4188554.389150 779.895501 -0.006364 0.017969 0.284328 0.958538
1757512294.391556740 634439.684227 4188554.389245 779.895442 -0.006371 0.017984 0.284319 0.958540
1757512294.415527344 634439.684227 4188554.389342 779.895385 -0.006379 0.017985 0.284319 0.958540
1757512294.442254305 634439.684225 4188554.389442 779.895331 -0.006372 0.017978 0.284311 0.958542
1757512294.452133894 634439.684224 4188554.389544 779.895269 -0.006384 0.017984 0.284321 0.958539
1757512294.472342730 634439.684236 4188554.389634 779.895206 -0.006375 0.017974 0.284324 0.958539
1757512294.492281675 634439.684238 4188554.389724 779.895138 -0.006380 0.017989 0.284331 0.958536
1757512294.512460470 634439.684244 4188554.389805 779.895088 -0.006374 0.017984 0.284331 0.958536
1757512294.534172773 634439.684252 4188554.389895 779.895023 -0.006374 0.017987 0.284323 0.958539
1757512294.551679373 634439.684261 4188554.389973 779.894967 -0.006376 0.017993 0.284320 0.958539
1757512294.572319508 634439.684266 4188554.390055 779.894898 -0.006372 0.017987 0.284316 0.958541
1757512294.592590809 634439.684259 4188554.390129 779.894838 -0.006374 0.017988 0.284322 0.958539
1757512294.612333059 634439.684266 4188554.390202 779.894775 -0.006372 0.017980 0.284325 0.958538
1757512294.637123108 634439.684267 4188554.390269 779.894710 -0.006370 0.017987 0.284324 0.958538
1757512294.652502775 634439.684276 4188554.390335 779.894652 -0.006376 0.017989 0.284323 0.958538
1757512294.672403574 634439.684280 4188554.390408 779.894609 -0.006357 0.017981 0.284312 0.958542
1757512294.691498518 634439.684294 4188554.390486 779.894561 -0.006374 0.017998 0.284312 0.958542
1757512294.712245703 634439.684298 4188554.390566 779.894508 -0.006357 0.017978 0.284313 0.958542
